start,target,distance,path,avg_time
1_회룡,3_대곡,77.4,"['1_회룡', '1_망월사', '1_도봉산', '1_도봉', '1_방학', '1_창동', '4_창동', '4_쌍문', '4_수유', '4_미아', '4_미아사거리', '4_길음', '4_성신여대입구', '4_한성대입구', '4_혜화', '4_동대문', '4_동대문역사문화공원', '4_충무로', '3_충무로', '3_을지로3가', '3_종로3가', '3_안국', '3_경복궁', '3_독립문', '3_무악재', '3_홍제', '3_녹번', '3_불광', '3_연신내', '3_구파발', '3_지축', '3_삼송', '3_원흥', '3_원당', '3_화정', '3_대곡']",2.0040197220320503e-05
5_신금호,4_중앙,73.81666666666666,"['5_신금호', '5_청구', '5_동대문역사문화공원', '4_동대문역사문화공원', '4_충무로', '4_명동', '4_회현', '4_서울역', '4_숙대입구', '4_삼각지', '4_신용산', '4_이촌', '4_동작', '4_이수', '4_사당', '4_남태령', '4_선바위', '4_경마공원', '4_대공원', '4_과천', '4_정부과천청사', '4_인덕원', '4_평촌', '4_범계', '4_금정', '4_산본', '4_수리산', '4_대야미', '4_반월', '4_상록수', '4_한대앞', '4_중앙']",3.0940227831403414e-05
1_쌍용,5_까치산,120.36666666666667,"['1_쌍용', '1_봉명', '1_천안', '1_두정', '1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_신도림', '2_신도림', '2_도림천', '2_양천구청', '2_신정네거리', '2_까치산', '5_까치산']",2.0544438545281688e-05
1_봉명,2_충정로,124.13333333333333,"['1_봉명', '1_천안', '1_두정', '1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_신도림', '2_신도림', '2_문래', '2_영등포구청', '2_당산', '2_합정', '2_홍대입구', '2_신촌', '2_이대', '2_아현', '2_충정로']",2.809589495882392e-05
3_마두,3_옥수,52.5,"['3_마두', '3_백석', '3_대곡', '3_화정', '3_원당', '3_원흥', '3_삼송', '3_지축', '3_구파발', '3_연신내', '3_불광', '3_녹번', '3_홍제', '3_무악재', '3_독립문', '3_경복궁', '3_안국', '3_종로3가', '3_을지로3가', '3_충무로', '3_동대입구', '3_약수', '3_금호', '3_옥수']",1.8774999383216102e-05
5_마곡,1_동두천,108.83333333333331,"['5_마곡', '5_발산', '5_우장산', '5_화곡', '5_까치산', '5_신정', '5_목동', '5_오목교', '5_양평', '5_영등포구청', '2_영등포구청', '2_당산', '2_합정', '2_홍대입구', '2_신촌', '2_이대', '2_아현', '2_충정로', '2_시청', '2_을지로입구', '2_을지로3가', '2_을지로4가', '2_동대문역사문화공원', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_방학', '1_도봉', '1_도봉산', '1_망월사', '1_회룡', '1_의정부', '1_가능', '1_녹양', '1_양주', '1_덕계', '1_덕정', '1_지행', '1_동두천중앙', '1_보산', '1_동두천']",3.080840300147732e-05
1_쌍용,2_건대입구,140.53333333333333,"['1_쌍용', '1_봉명', '1_천안', '1_두정', '1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '4_금정', '4_범계', '4_평촌', '4_인덕원', '4_정부과천청사', '4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_방배', '2_서초', '2_교대', '2_강남', '2_역삼', '2_선릉', '2_삼성', '2_종합운동장', '2_잠실새내', '2_잠실', '2_잠실나루', '2_강변', '2_구의', '2_건대입구']",2.978877358449002e-05
3_매봉,1_제기동,37.43333333333334,"['3_매봉', '3_양재', '3_남부터미터널', '3_교대', '3_고속터미널', '3_잠원', '3_신사', '3_압구정', '3_옥수', '3_금호', '3_약수', '3_동대입구', '3_충무로', '4_충무로', '4_동대문역사문화공원', '4_동대문', '1_동대문', '1_동묘앞', '1_신설동', '1_제기동']",2.3761100601404904e-05
4_혜화,1_종로3가,9.2,"['4_혜화', '4_동대문', '1_동대문', '1_종로5가', '1_종로3가']",1.480273009898762e-05
4_충무로,1_오산대,84.0,"['4_충무로', '4_명동', '4_회현', '4_서울역', '4_숙대입구', '4_삼각지', '4_신용산', '4_이촌', '4_동작', '4_이수', '4_사당', '4_남태령', '4_선바위', '4_경마공원', '4_대공원', '4_과천', '4_정부과천청사', '4_인덕원', '4_평촌', '4_범계', '4_금정', '1_금정', '1_군포', '1_당정', '1_의왕', '1_성균관대', '1_화서', '1_수원', '1_세류', '1_병점', '1_세마', '1_오산대']",1.1890397096673648e-05
3_고속터미널,2_양천구청,33.55,"['3_고속터미널', '3_교대', '2_교대', '2_서초', '2_방배', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '2_도림천', '2_양천구청']",2.5198703709368905e-05
5_목동,2_아현,19.366666666666667,"['5_목동', '5_오목교', '5_양평', '5_영등포구청', '2_영등포구청', '2_당산', '2_합정', '2_홍대입구', '2_신촌', '2_이대', '2_아현']",3.133876792465647e-05
1_평택,3_고속터미널,97.08333333333333,"['1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '4_금정', '4_범계', '4_평촌', '4_인덕원', '4_정부과천청사', '4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_방배', '2_서초', '2_교대', '3_교대', '3_고속터미널']",1.799302796522776e-05
1_직산,5_올림픽공원,135.15,"['1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '4_금정', '4_범계', '4_평촌', '4_인덕원', '4_정부과천청사', '4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_방배', '2_서초', '2_교대', '3_교대', '3_남부터미터널', '3_양재', '3_매봉', '3_도곡', '3_대치', '3_학여울', '3_대청', '3_일원', '3_수서', '3_가락시장', '3_경찰병원', '3_오금', '5_오금', '5_방이', '5_올림픽공원']",1.69544267312934e-05
2_구의,1_남영,27.35,"['2_구의', '2_건대입구', '2_성수', '2_뚝섬', '2_한양대', '2_왕십리', '2_상왕십리', '2_신당', '2_동대문역사문화공원', '4_동대문역사문화공원', '4_충무로', '4_명동', '4_회현', '4_서울역', '1_서울역', '1_남영']",3.0290166614577173e-05
1_월계,1_종로5가,26.0,"['1_월계', '1_성북', '1_석계', '1_신이문', '1_외대앞', '1_회기', '1_청량리', '1_제기동', '1_신설동', '1_동묘앞', '1_동대문', '1_종로5가']",2.605270128697157e-05
1_대방,1_신길,1.5,"['1_대방', '1_신길']",2.2318136567870777e-05
1_명학,1_녹천,75.38333333333333,"['1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_신도림', '1_영등포', '1_신길', '1_대방', '1_노량진', '1_용산', '1_남영', '1_서울역', '4_서울역', '4_회현', '4_명동', '4_충무로', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_녹천']",3.421250148676336e-05
3_일원,1_관악,60.18333333333334,"['3_일원', '3_대청', '3_학여울', '3_대치', '3_도곡', '3_매봉', '3_양재', '3_남부터미터널', '3_교대', '2_교대', '2_서초', '2_방배', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '1_신도림', '1_구로', '1_가산디지털단지', '1_독산', '1_금천구청', '1_석수', '1_관악']",2.0547259676580628e-05
3_경찰병원,3_대청,8.5,"['3_경찰병원', '3_가락시장', '3_수서', '3_일원', '3_대청']",1.651933416724205e-05
4_과천,2_영등포구청,34.03333333333333,"['4_과천', '4_대공원', '4_경마공원', '4_선바위', '4_남태령', '4_사당', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '2_문래', '2_영등포구청']",1.5872204676270486e-05
2_홍대입구,2_동대문역사문화공원,16.5,"['2_홍대입구', '2_신촌', '2_이대', '2_아현', '2_충정로', '2_시청', '2_을지로입구', '2_을지로3가', '2_을지로4가', '2_동대문역사문화공원']",2.1477767343943318e-05
5_광화문,1_동두천중앙,68.48333333333333,"['5_광화문', '5_종로3가', '5_을지로4가', '5_동대문역사문화공원', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_방학', '1_도봉', '1_도봉산', '1_망월사', '1_회룡', '1_의정부', '1_가능', '1_녹양', '1_양주', '1_덕계', '1_덕정', '1_지행', '1_동두천중앙']",2.3645663168281318e-05
1_서울역,5_화곡,31.366666666666664,"['1_서울역', '1_남영', '1_용산', '1_노량진', '1_대방', '1_신길', '5_신길', '5_영등포시장', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산', '5_화곡']",2.09817992678533e-05
5_마포,4_회현,18.4,"['5_마포', '5_공덕', '5_애오개', '5_충정로', '2_충정로', '2_시청', '1_시청', '1_서울역', '4_서울역', '4_회현']",2.0283233607187866e-05
5_충정로,2_까치산,24.9,"['5_충정로', '5_애오개', '5_공덕', '5_마포', '5_여의나루', '5_여의도', '5_신길', '5_영등포시장', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산', '2_까치산']",2.9904133407399057e-05
5_양평,1_봉명,112.83333333333333,"['5_양평', '5_영등포구청', '2_영등포구청', '2_문래', '2_신도림', '1_신도림', '1_구로', '1_가산디지털단지', '1_독산', '1_금천구청', '1_석수', '1_관악', '1_안양', '1_명학', '1_금정', '1_군포', '1_당정', '1_의왕', '1_성균관대', '1_화서', '1_수원', '1_세류', '1_병점', '1_세마', '1_오산대', '1_오산', '1_진위', '1_송탄', '1_서정리', '1_지제', '1_평택', '1_성환', '1_직산', '1_두정', '1_천안', '1_봉명']",2.150270350587865e-05
1_동암,2_신당,61.85,"['1_동암', '1_백운', '1_부평', '1_부개', '1_송내', '1_중동', '1_부천', '1_소사', '1_역곡', '1_온수', '1_오류동', '1_개봉', '1_구일', '1_구로', '1_신도림', '1_영등포', '1_신길', '1_대방', '1_노량진', '1_용산', '1_남영', '1_서울역', '4_서울역', '4_회현', '4_명동', '4_충무로', '4_동대문역사문화공원', '2_동대문역사문화공원', '2_신당']",1.2198703673978646e-05
3_약수,2_당산,25.066666666666666,"['3_약수', '3_동대입구', '3_충무로', '3_을지로3가', '2_을지로3가', '2_을지로입구', '2_시청', '2_충정로', '2_아현', '2_이대', '2_신촌', '2_홍대입구', '2_합정', '2_당산']",2.6538776000961662e-05
1_명학,1_개봉,25.5,"['1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청', '1_독산', '1_가산디지털단지', '1_구로', '1_구일', '1_개봉']",8.759707755719622e-06
1_직산,4_선바위,91.5,"['1_직산', '1_성환', '1_평택', '1_지제', '1_서정리', '1_송탄', '1_진위', '1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '4_금정', '4_범계', '4_평촌', '4_인덕원', '4_정부과천청사', '4_과천', '4_대공원', '4_경마공원', '4_선바위']",1.543473335914314e-05
2_신대방,3_정발산,79.56666666666666,"['2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '2_문래', '2_영등포구청', '2_당산', '2_합정', '2_홍대입구', '2_신촌', '2_이대', '2_아현', '2_충정로', '2_시청', '2_을지로입구', '2_을지로3가', '3_을지로3가', '3_종로3가', '3_안국', '3_경복궁', '3_독립문', '3_무악재', '3_홍제', '3_녹번', '3_불광', '3_연신내', '3_구파발', '3_지축', '3_삼송', '3_원흥', '3_원당', '3_화정', '3_대곡', '3_백석', '3_마두', '3_정발산']",1.8808263121172786e-05
2_건대입구,5_까치산,46.86666666666667,"['2_건대입구', '2_성수', '2_뚝섬', '2_한양대', '2_왕십리', '2_상왕십리', '2_신당', '2_동대문역사문화공원', '2_을지로4가', '2_을지로3가', '2_을지로입구', '2_시청', '2_충정로', '2_아현', '2_이대', '2_신촌', '2_홍대입구', '2_합정', '2_당산', '2_영등포구청', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산']",3.654713121553262e-05
5_신길,4_충무로,22.2,"['5_신길', '5_여의도', '5_여의나루', '5_마포', '5_공덕', '5_애오개', '5_충정로', '5_서대문', '5_광화문', '5_종로3가', '3_종로3가', '3_을지로3가', '3_충무로', '4_충무로']",1.9941632247840366e-05
5_방화,4_사당,47.766666666666666,"['5_방화', '5_개화산', '5_김포공항', '5_송정', '5_마곡', '5_발산', '5_우장산', '5_화곡', '5_까치산', '2_까치산', '2_신정네거리', '2_양천구청', '2_도림천', '2_신도림', '2_대림', '2_구로디지털단지', '2_신대방', '2_신림', '2_봉천', '2_서울대입구', '2_낙성대', '2_사당', '4_사당']",1.6108304650212327e-05
1_성균관대,1_서정리,35.0,"['1_성균관대', '1_화서', '1_수원', '1_세류', '1_병점', '1_세마', '1_오산대', '1_오산', '1_진위', '1_송탄', '1_서정리']",1.0505563113838435e-05
3_일원,4_정왕,84.08333333333333,"['3_일원', '3_대청', '3_학여울', '3_대치', '3_도곡', '3_매봉', '3_양재', '3_남부터미터널', '3_교대', '2_교대', '2_서초', '2_방배', '2_사당', '4_사당', '4_남태령', '4_선바위', '4_경마공원', '4_대공원', '4_과천', '4_정부과천청사', '4_인덕원', '4_평촌', '4_범계', '4_금정', '4_산본', '4_수리산', '4_대야미', '4_반월', '4_상록수', '4_한대앞', '4_중앙', '4_고잔', '4_초지', '4_안산', '4_신길온천', '4_정왕']",1.851789808521668e-05
3_양재,2_까치산,42.55,"['3_양재', '3_남부터미터널', '3_교대', '2_교대', '2_서초', '2_방배', '2_사당', '2_낙성대', '2_서울대입구', '2_봉천', '2_신림', '2_신대방', '2_구로디지털단지', '2_대림', '2_신도림', '2_도림천', '2_양천구청', '2_신정네거리', '2_까치산']",2.1941534942016006e-05
3_대화,2_용두,63.85,"['3_대화', '3_주엽', '3_정발산', '3_마두', '3_백석', '3_대곡', '3_화정', '3_원당', '3_원흥', '3_삼송', '3_지축', '3_구파발', '3_연신내', '3_불광', '3_녹번', '3_홍제', '3_무악재', '3_독립문', '3_경복궁', '3_안국', '3_종로3가', '1_종로3가', '1_종로5가', '1_동대문', '1_동묘앞', '1_신설동', '2_신설동', '2_용두']",2.7522068315496047e-05
1_부개,1_신이문,70.5,"['1_부개', '1_송내', '1_중동', '1_부천', '1_소사', '1_역곡', '1_온수', '1_오류동', '1_개봉', '1_구일', '1_구로', '1_신도림', '1_영등포', '1_신길', '1_대방', '1_노량진', '1_용산', '1_남영', '1_서울역', '1_시청', '1_종각', '1_종로3가', '1_종로5가', '1_동대문', '1_동묘앞', '1_신설동', '1_제기동', '1_청량리', '1_회기', '1_외대앞', '1_신이문']",2.3430564518397053e-05
3_정발산,3_신사,59.5,"['3_정발산', '3_마두', '3_백석', '3_대곡', '3_화정', '3_원당', '3_원흥', '3_삼송', '3_지축', '3_구파발', '3_연신내', '3_불광', '3_녹번', '3_홍제', '3_무악재', '3_독립문', '3_경복궁', '3_안국', '3_종로3가', '3_을지로3가', '3_충무로', '3_동대입구', '3_약수', '3_금호', '3_옥수', '3_압구정', '3_신사']",1.7735996516421436e-05
5_화곡,3_연신내,50.96666666666667,"['5_화곡', '5_까치산', '5_신정', '5_목동', '5_오목교', '5_양평', '5_영등포구청', '5_영등포시장', '5_신길', '5_여의도', '5_여의나루', '5_마포', '5_공덕', '5_애오개', '5_충정로', '5_서대문', '5_광화문', '5_종로3가', '3_종로3가', '3_안국', '3_경복궁', '3_독립문', '3_무악재', '3_홍제', '3_녹번', '3_불광', '3_연신내']",2.3458195695032676e-05
2_아현,2_낙성대,30.150000000000002,"['2_아현', '2_충정로', '2_시청', '1_시청', '1_서울역', '4_서울역', '4_숙대입구', '4_삼각지', '4_신용산', '4_이촌', '4_동작', '4_이수', '4_사당', '2_사당', '2_낙성대']",3.010413881080846e-05
5_왕십리,5_방화,57.56666666666667,"['5_왕십리', '2_왕십리', '2_상왕십리', '2_신당', '2_동대문역사문화공원', '2_을지로4가', '2_을지로3가', '2_을지로입구', '2_시청', '2_충정로', '2_아현', '2_이대', '2_신촌', '2_홍대입구', '2_합정', '2_당산', '2_영등포구청', '5_영등포구청', '5_양평', '5_오목교', '5_목동', '5_신정', '5_까치산', '5_화곡', '5_우장산', '5_발산', '5_마곡', '5_송정', '5_김포공항', '5_개화산', '5_방화']",2.0686098529646794e-05
2_왕십리,5_하남풍산,35.2,"['2_왕십리', '5_왕십리', '5_마장', '5_답십리', '5_장한평', '5_군자', '5_아차산', '5_광나루', '5_천호', '5_강동', '5_길동', '5_굽은다리', '5_명일', '5_고덕', '5_상일동', '5_강일', '5_미사', '5_하남풍산']",7.3054339736700055e-06
4_미아,4_오남,26.5,"['4_미아', '4_수유', '4_쌍문', '4_창동', '4_노원', '4_상계', '4_당고개', '4_별가람', '4_오남']",7.601301573837797e-06
1_오산,1_금천구청,51.5,"['1_오산', '1_오산대', '1_세마', '1_병점', '1_세류', '1_수원', '1_화서', '1_성균관대', '1_의왕', '1_당정', '1_군포', '1_금정', '1_명학', '1_안양', '1_관악', '1_석수', '1_금천구청']",1.0362568233783047e-05
1_금정,1_당정,6.5,"['1_금정', '1_군포', '1_당정']",8.368030345688263e-06
4_숙대입구,3_마두,53.233333333333334,"['4_숙대입구', '4_서울역', '4_회현', '4_명동', '4_충무로', '3_충무로', '3_을지로3가', '3_종로3가', '3_안국', '3_경복궁', '3_독립문', '3_무악재', '3_홍제', '3_녹번', '3_불광', '3_연신내', '3_구파발', '3_지축', '3_삼송', '3_원흥', '3_원당', '3_화정', '3_대곡', '3_백석', '3_마두']",1.1947203893214464e-05
5_아차산,1_동두천중앙,77.5,"['5_아차산', '5_군자', '5_장한평', '5_답십리', '5_마장', '5_왕십리', '2_왕십리', '2_상왕십리', '2_신당', '2_동대문역사문화공원', '4_동대문역사문화공원', '4_동대문', '4_혜화', '4_한성대입구', '4_성신여대입구', '4_길음', '4_미아사거리', '4_미아', '4_수유', '4_쌍문', '4_창동', '1_창동', '1_방학', '1_도봉', '1_도봉산', '1_망월사', '1_회룡', '1_의정부', '1_가능', '1_녹양', '1_양주', '1_덕계', '1_덕정', '1_지행', '1_동두천중앙']",1.2801333408181866e-05
4_상계,3_신사,39.733333333333334,"['4_상계', '4_노원', '4_창동', '4_쌍문', '4_수유', '4_미아', '4_미아사거리', '4_길음', '4_성신여대입구', '4_한성대입구', '4_혜화', '4_동대문', '4_동대문역사문화공원', '4_충무로', '3_충무로', '3_동대입구', '3_약수', '3_금호', '3_옥수', '3_압구정', '3_신사']",1.447076986854275e-05
5_마포,3_안국,14.633333333333333,"['5_마포', '5_공덕', '5_애오개', '5_충정로', '5_서대문', '5_광화문', '5_종로3가', '3_종로3가', '3_안국']",2.3894299132128557e-05
